@timestamp,@message,@logStream,@log
2023-10-18 17:10:23.603,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530117f22b4170008e5fc00"",
  ""metadata"": {}
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:10:01.430,"{
  ""level"": ""error"",
  ""message"": {
    ""name"": ""AggregationError"",
    ""message"": ""No shipping methods"",
    ""errorCode"": ""E003"",
    ""data"": null
  },
  ""metadata"": {
    ""storeId"": ""tco-demo-01.myshopify.com"",
    ""postcode"": ""S101BN"",
    ""lineItems"": [
      {
        ""productId"": ""gid://shopify/Product/520857026619"",
        ""variantId"": ""gid://shopify/ProductVariant/6867296780347""
      }
    ]
  }
}",2023-10-18-1697648979046,977846025308:date-picker-cutters-production
2023-10-18 17:08:05.686,"{
  ""level"": ""error"",
  ""message"": {
    ""name"": ""AggregationError"",
    ""message"": ""No shipping methods"",
    ""errorCode"": ""E003"",
    ""data"": null
  },
  ""metadata"": {
    ""storeId"": ""tco-demo-01.myshopify.com"",
    ""postcode"": ""S101BN"",
    ""lineItems"": [
      {
        ""productId"": ""gid://shopify/Product/520857026619"",
        ""variantId"": ""gid://shopify/ProductVariant/6867296780347""
      }
    ]
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:08:03.608,"{
  ""level"": ""error"",
  ""message"": ""No nominated date attribute associated with the order"",
  ""metadata"": {
    ""statusCode"": 422,
    ""retry"": false,
    ""stack"": ""Error: No nominated date attribute associated with the order\n    at handle (/var/task/pages/api/realm/handleOrderUpsert.js:1856:11)\n    at runMicrotasks (<anonymous>)\n    at processTicksAndRejections (internal/process/task_queues.js:95:5)\n    at async /var/task/pages/api/realm/handleOrderUpsert.js:1416:14\n    at async apiResolver (/var/task/node_modules/next/dist/next-server/server/api-utils.js:8:1)\n    at async Module.default (/var/task/pages/api/realm/handleOrderUpsert.js:551:387)""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:08:03.577,"{
  ""level"": ""info"",
  ""message"": ""Processing order 653010f322b4170008e5fbff"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:14.480,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:14.479,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:14.452,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-27T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:14.281,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530107a22b4170008e5fbfe"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:08.807,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:08.806,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:08.787,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-22T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:08.651,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530107622b4170008e5fbfd"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:03.661,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:03.661,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:03.646,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-27T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:03.514,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530107a22b4170008e5fbfe"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.775,"{
  ""level"": ""info"",
  ""message"": ""Called ShopifyGQL, adding tag history"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe"",
    ""applyResult"": {
      ""data"": {
        ""orderTagsAdd"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206900441257""
          },
          ""userErrors"": []
        },
        ""orderTagsRemove"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206900441257""
          },
          ""userErrors"": []
        }
      },
      ""extensions"": {
        ""cost"": {
          ""requestedQueryCost"": 20,
          ""actualQueryCost"": 20,
          ""throttleStatus"": {
            ""maximumAvailable"": 10000,
            ""currentlyAvailable"": 9980,
            ""restoreRate"": 500
          }
        }
      }
    },
    ""history"": [
      ""2023/10/28"",
      ""Local Delivery Order"",
      ""Local Delivery Order"",
      ""07:00 - 21:00""
    ]
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.774,"{
  ""level"": ""info"",
  ""message"": ""GQL Request ID"",
  ""metadata"": {
    ""gqlRequestId"": ""e77e2124-98bc-4e38-b365-63d41875b002""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.425,"{
  ""level"": ""info"",
  ""message"": ""Calling ShopifyGQL"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.425,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe"",
    ""addTags"": [
      ""2023/10/28"",
      ""Local Delivery Order"",
      ""Local Delivery Order"",
      ""07:00 - 21:00""
    ],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.425,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530107a22b4170008e5fbfe""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.405,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-27T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:02.236,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530107a22b4170008e5fbfe"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:00.066,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:00.065,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:06:00.049,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-22T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:59.919,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530107622b4170008e5fbfd"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:59.213,"{
  ""level"": ""info"",
  ""message"": ""Called ShopifyGQL, adding tag history"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd"",
    ""applyResult"": {
      ""data"": {
        ""orderTagsAdd"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206900310185""
          },
          ""userErrors"": []
        },
        ""orderTagsRemove"": {
          ""node"": {
            ""id"": ""gid://shopify/Order/5206900310185""
          },
          ""userErrors"": []
        }
      },
      ""extensions"": {
        ""cost"": {
          ""requestedQueryCost"": 20,
          ""actualQueryCost"": 20,
          ""throttleStatus"": {
            ""maximumAvailable"": 10000,
            ""currentlyAvailable"": 9980,
            ""restoreRate"": 500
          }
        }
      }
    },
    ""history"": [
      ""2023/10/23"",
      ""Nationwide"",
      ""08:00 - 20:00"",
      ""Nationwide""
    ]
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:59.212,"{
  ""level"": ""info"",
  ""message"": ""GQL Request ID"",
  ""metadata"": {
    ""gqlRequestId"": ""880b579b-f379-456a-b96d-0468f27b254a""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:58.865,"{
  ""level"": ""info"",
  ""message"": ""Calling ShopifyGQL"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:58.865,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd"",
    ""addTags"": [
      ""2023/10/23"",
      ""Nationwide"",
      ""08:00 - 20:00"",
      ""Nationwide""
    ],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:58.865,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""6530107622b4170008e5fbfd""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:58.847,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-22T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:05:58.701,"{
  ""level"": ""info"",
  ""message"": ""Processing order 6530107622b4170008e5fbfd"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:04:40.866,"{
  ""level"": ""error"",
  ""message"": {
    ""name"": ""AggregationError"",
    ""message"": ""No shipping methods"",
    ""errorCode"": ""E003"",
    ""data"": null
  },
  ""metadata"": {
    ""storeId"": ""tco-demo-01.myshopify.com"",
    ""postcode"": ""S101BN"",
    ""lineItems"": [
      {
        ""productId"": ""gid://shopify/Product/7781812469929"",
        ""variantId"": ""gid://shopify/ProductVariant/43211605082281""
      }
    ]
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:03:21.892,"{
  ""level"": ""error"",
  ""message"": {
    ""name"": ""AggregationError"",
    ""message"": ""No shipping methods"",
    ""errorCode"": ""E003"",
    ""data"": null
  },
  ""metadata"": {
    ""storeId"": ""tco-demo-01.myshopify.com"",
    ""postcode"": ""B16 0HH"",
    ""lineItems"": [
      {
        ""productId"": ""gid://shopify/Product/4072597511"",
        ""variantId"": ""gid://shopify/ProductVariant/13983833159""
      }
    ]
  }
}",2023-10-18-1697648601155,977846025308:date-picker-cutters-production
2023-10-18 17:03:03.399,"{
  ""level"": ""info"",
  ""message"": ""Running applyTags"",
  ""metadata"": {
    ""orderId"": ""65300fbe22b4170008e5fbfc""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:03:03.399,"{
  ""level"": ""info"",
  ""message"": ""Aggregated tags"",
  ""metadata"": {
    ""orderId"": ""65300fbe22b4170008e5fbfc"",
    ""addTags"": [],
    ""removeTags"": []
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:03:03.385,"{
  ""level"": ""info"",
  ""message"": ""Found date"",
  ""metadata"": {
    ""date"": ""2023-10-21T23:00:00.000Z""
  }
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
2023-10-18 17:03:03.255,"{
  ""level"": ""info"",
  ""message"": ""Processing order 65300fbe22b4170008e5fbfc"",
  ""metadata"": {}
}",2023-10-18-1697647849383,977846025308:date-picker-cutters-production
